genre,category
country rock,rock
countrygaze,other
coupe-decale,other
coventry indie,other
coverchill,other
covertrance,other
covertronica,other
cowboy western,other
cowpunk,punk
crack rock steady,rock
crank wave,other
cristiana para ninos,other
croatian electronic,electronic
croatian hip hop,hiphop
croatian indie,other
croatian metal,metal
croatian pop,pop
crossover prog,other
crossover thrash,other
cruise,other
crunk,other
crust punk,punk
cryptic black metal,metal
cuarteto,other
cuatro puertorriqueno,other
cuatro venezolano,other
cuban alternative,other
cuban electronic,electronic
cuban funk,other
cuban rumba,other
cubaton,other
cumbia,other
cumbia boliviana,other
cumbia chilena,other
cumbia colombiana regia,other
cumbia del sureste,other
cumbia funk,other
cumbia peruana,other
cumbia pop,pop
cumbia salvadorena,other
cumbia santafesina,other
cumbia sonidera,other
cumbia uruguaya,other
cyber metal,metal
cybergrind,other
cyberpunk,punk
cymraeg,other
cypriot metal,metal
cypriot pop,pop
czech classical,classic
czech classical piano,classic
czech contemporary classical,classic
czech country,other
czech electronic,electronic
czech folk,folk
czech folk rock,folk
czech hip hop,hiphop
czech indie,other
czech jazz,jazz
czech metal,metal
czech pop,pop
czech pop rock,pop
czech punk,punk
czech rock,rock
czech singer-songwriter,other
czsk black metal,metal
czsk electropop,pop
czsk emo rap,rap
czsk hip hop,hiphop
czsk reggae,reggae
d-beat,other
dabke,other
dainuojamoji poezija,other
dakke dak,other
dalarna indie,other
dallas indie,other
dance pop,pop
dance rock,rock
dance-punk,punk
dancefloor dnb,other
dancehall,other
dancehall colombiano,other
dancehall guyanaise,other
dancehall queen,other
dangdut,other
danish alternative rock,rock
danish black metal,metal
danish choir,other
danish classical,classic
danish contemporary classical,classic
danish death metal,metal
danish electro,other
danish electronic,electronic
danish electropop,pop
danish experimental,other
danish folk,folk
danish hip hop,hiphop
danish indie,other
danish indie pop,pop
danish jazz,jazz
danish metal,metal
danish modern jazz,jazz
danish pop,pop
danish pop rock,pop
danish post-punk,punk
danish punk,punk
danish rock,rock
danish singer-songwriter,other
danish techno,other
dansband,other
danseband,other
dansei seiyu,other
dansktop,other
danspunk,punk
danzon,other
darbuka,other
dariacore,other
dark ambient,other
dark black metal,metal
dark cabaret,other
dark clubbing,other
dark disco,disco
dark electro,other
dark electro-industrial,other
dark folk,folk
dark hardcore,other
dark jazz,jazz
dark minimal techno,other
dark plugg,other
dark pop,pop
dark post-punk,punk
dark progressive house,other
dark psytrance,other
dark r&b,other
dark rock,rock
dark synthpop,pop
dark techno,other
dark trap,trap
dark wave,other
darkstep,other
darksynth,other
dayton indie,other
dc hardcore,other
dc indie,other
death _n_ roll,other
death doom,other
death industrial,other
death metal,metal
deathcore,other
deathgrass,other
deathgrind,other
deathrash,other
deathrock,rock
deathstep,other
deboxe,other
deconstructed club,other
